"report_title","publication_date","report_url","year","month","disease","country","","","","","","","","","","","","",""
"Cluster of community deaths in Basankusu, Equateur- Democratic Republic of the Congo","03 March 2025","https://www.who.int/emergencies/disease-outbreak-news/item/2025-DON557","2025","March","Cluster of community deaths in Basankusu, Equateur","Democratic Republic of the Congo","","","","","","","","","","","","",""
"Sudan virus disease - Uganda","21 February 2025","https://www.who.int/emergencies/disease-outbreak-news/item/2025-DON556","2025","February","Sudan virus disease","Uganda","","","","","","","","","","","","",""
"Marburg Virus Disease–United Republic of Tanzania","14 February 2025","https://www.who.int/emergencies/disease-outbreak-news/item/2025-DON554","2025","February","Marburg Virus Disease","United Republic of Tanzania","","","","","","","","","","","","",""
"Sudan virus disease - Uganda","01 February 2025","https://www.who.int/emergencies/disease-outbreak-news/item/2025-DON555","2025","February","Sudan virus disease","Uganda","","","","","","","","","","","","",""
"Zika virus disease - India","29 January 2025","https://www.who.int/emergencies/disease-outbreak-news/item/2025-DON549","2025","January","Zika virus disease","India","","","","","","","","","","","","",""
"Chapare haemorrhagic fever- the Plurinational State of Bolivia","20 January 2025","https://www.who.int/emergencies/disease-outbreak-news/item/2025-DON553","2025","January","Chapare haemorrhagic fever","the Plurinational State of Bolivia","","","","","","","","","","","","",""
"Outbreak of suspected Marburg Virus Disease - United Republic of Tanzania","14 January 2025","https://www.who.int/emergencies/disease-outbreak-news/item/2025-DON552","2025","January","Outbreak of suspected Marburg Virus Disease","United Republic of Tanzania","","","","","","","","","","","","",""
"Trends of acute respiratory infection, including human metapneumovirus, in the Northern Hemisphere","07 January 2025","https://www.who.int/emergencies/disease-outbreak-news/item/2025-DON550","2025","January","Trends of acute respiratory infection, including human metapneumovirus","Northern Hemisphere","","","","","","","","","","","","",""
"Acute respiratory infections complicated by malaria (previously undiagnosed disease) - Democratic Republic of the Congo","27 December 2024","https://www.who.int/emergencies/disease-outbreak-news/item/2024-DON547","2024","December","Acute respiratory infections complicated by malaria (previously undiagnosed disease)","Democratic Republic of the Congo","","","","","","","","","","","","",""
"Marburg virus disease - Rwanda","20 December 2024","https://www.who.int/emergencies/disease-outbreak-news/item/2024-DON548","2024","December","Marburg virus disease","Rwanda","","","","","","","","","","","","",""
"Undiagnosed disease - Democratic Republic of the Congo","08 December 2024","https://www.who.int/emergencies/disease-outbreak-news/item/2024-DON546","2024","December","Undiagnosed disease","Democratic Republic of the Congo","","","","","","","","","","","","",""
"Oropouche virus disease - Region of the Americas","05 December 2024","https://www.who.int/emergencies/disease-outbreak-news/item/2024-DON545","2024","December","Oropouche virus disease","Region of the Americas","","","","","","","","","","","","",""
"Marburg virus disease - Rwanda","13 November 2024","https://www.who.int/emergencies/disease-outbreak-news/item/2024-DON544","2024","November","Marburg virus disease","Rwanda","","","","","","","","","","","","",""
"Marburg virus disease - Rwanda","01 November 2024","https://www.who.int/emergencies/disease-outbreak-news/item/2024-DON543","2024","November","Marburg virus disease","Rwanda","","","","","","","","","","","","",""
"Malaria - Ethiopia","31 October 2024","https://www.who.int/emergencies/disease-outbreak-news/item/2024-DON542","2024","October","Malaria","Ethiopia","","","","","","","","","","","","",""
"Marburg virus disease - Rwanda","25 October 2024","https://www.who.int/emergencies/disease-outbreak-news/item/2024-DON541","2024","October","Marburg virus disease","Rwanda","","","","","","","","","","","","",""
"Marburg virus disease - Rwanda","18 October 2024","https://www.who.int/emergencies/disease-outbreak-news/item/2024-DON540","2024","October","Marburg virus disease","Rwanda","","","","","","","","","","","","",""
"Marburg virus disease - Rwanda","11 October 2024","https://www.who.int/emergencies/disease-outbreak-news/item/2024-DON539","2024","October","Marburg virus disease","Rwanda","","","","","","","","","","","","",""
"West Nile virus - Barbados","03 October 2024","https://www.who.int/emergencies/disease-outbreak-news/item/2024-DON538","2024","October","West Nile virus","Barbados","","","","","","","","","","","","",""
"Middle East respiratory syndrome coronavirus - Kingdom of Saudi Arabia","02 October 2024","https://www.who.int/emergencies/disease-outbreak-news/item/2024-DON536","2024","October","Middle East respiratory syndrome coronavirus","Kingdom of Saudi Arabia","","","","","","","","","","","","",""
"Marburg virus disease - Rwanda","30 September 2024","https://www.who.int/emergencies/disease-outbreak-news/item/2024-DON537","2024","September","Marburg virus disease","Rwanda","","","","","","","","","","","","",""
"Avian Influenza A(H9N2) - Ghana","20 September 2024","https://www.who.int/emergencies/disease-outbreak-news/item/2024-DON534","2024","September","Avian Influenza A(H9N2)","Ghana","","","","","","","","","","","","",""
"Influenza A(H1N1) variant virus - Viet Nam","04 September 2024","https://www.who.int/emergencies/disease-outbreak-news/item/2024-DON532","2024","September","Influenza A(H1N1) variant virus","Viet Nam","","","","","","","","","","","","",""
"Avian Influenza A(H5N1) - Cambodia","02 September 2024","https://www.who.int/emergencies/disease-outbreak-news/item/2024-DON533","2024","September","Avian Influenza A(H5N1)","Cambodia","","","","","","","","","","","","",""
"Mpox - Sweden","30 August 2024","https://www.who.int/emergencies/disease-outbreak-news/item/2024-DON531","2024","August","Mpox","Sweden","","","","","","","","","","","","",""
"Oropouche virus disease - Region of the Americas","23 August 2024","https://www.who.int/emergencies/disease-outbreak-news/item/2024-DON530","2024","August","Oropouche virus disease","Region of the Americas","","","","","","","","","","","","",""
"Acute encephalitis syndrome due to Chandipura virus - India","23 August 2024","https://www.who.int/emergencies/disease-outbreak-news/item/2024-DON529","2024","August","Acute encephalitis syndrome due to Chandipura virus","India","","","","","","","","","","","","",""
"Mpox – African Region","22 August 2024","https://www.who.int/emergencies/disease-outbreak-news/item/2024-DON528","2024","August","Mpox","African Region (AFRO)","","","","","","","","","","","","",""
"Antimicrobial Resistance, Hypervirulent Klebsiella pneumoniae - Global situation","31 July 2024","https://www.who.int/emergencies/disease-outbreak-news/item/2024-DON527","2024","July","Antimicrobial Resistance, Hypervirulent Klebsiella pneumoniae","Global situation","","","","","","","","","","","","",""
"Dengue - Iran (Islamic Republic of)","22 July 2024","https://www.who.int/emergencies/disease-outbreak-news/item/2024-DON526","2024","July","Dengue","Iran (Islamic Republic of)","","","","","","","","","","","","",""
"Mpox - South Africa","09 July 2024","https://www.who.int/emergencies/disease-outbreak-news/item/2024-DON525","2024","July","Mpox","South Africa","","","","","","","","","","","","",""
"Mpox - Democratic Republic of the Congo","14 June 2024","https://www.who.int/emergencies/disease-outbreak-news/item/2024-DON522","2024","June","Mpox","Democratic Republic of the Congo","","","","","","","","","","","","",""
"Avian Influenza A(H5N2) - Mexico","14 June 2024","https://www.who.int/emergencies/disease-outbreak-news/item/2024-DON524","2024","June","Avian Influenza A(H5N2)","Mexico","","","","","","","","","","","","",""
"Avian Influenza A (H9N2) - India","11 June 2024","https://www.who.int/emergencies/disease-outbreak-news/item/2024-DON523","2024","June","Avian Influenza A (H9N2)","India","","","","","","","","","","","","",""
"Oropouche virus disease - Cuba","11 June 2024","https://www.who.int/emergencies/disease-outbreak-news/item/2024-DON521","2024","June","Oropouche virus disease","Cuba","","","","","","","","","","","","",""
"Avian Influenza A (H5N1) - Australia","07 June 2024","https://www.who.int/emergencies/disease-outbreak-news/item/2024-DON519","2024","June","Avian Influenza A (H5N1)","Australia","","","","","","","","","","","","",""
"Avian Influenza A(H5N2) - Mexico","05 June 2024","https://www.who.int/emergencies/disease-outbreak-news/item/2024-DON520","2024","June","Avian Influenza A(H5N2)","Mexico","","","","","","","","","","","","",""
"Dengue - Global situation","30 May 2024","https://www.who.int/emergencies/disease-outbreak-news/item/2024-DON518","2024","May","Dengue","Global situation","","","","","","","","","","","","",""
"Hepatitis E - Chad","08 May 2024","https://www.who.int/emergencies/disease-outbreak-news/item/2024-DON517","2024","May","Hepatitis E","Chad","","","","","","","","","","","","",""
"Middle East respiratory syndrome coronavirus-Kingdom of Saudi Arabia","08 May 2024","https://www.who.int/emergencies/disease-outbreak-news/item/2024-DON516","2024","May","Middle East respiratory syndrome coronavirus","Kingdom of Saudi Arabia","","","","","","","","","","","","",""
"Avian Influenza A(H9N2) - Viet Nam","19 April 2024","https://www.who.int/emergencies/disease-outbreak-news/item/2024-DON514","2024","April","Avian Influenza A(H9N2)","Viet Nam","","","","","","","","","","","","",""
"Rabies - Timor-Leste","10 April 2024","https://www.who.int/emergencies/disease-outbreak-news/item/2024-DON513","2024","April","Rabies","Leste","","","","","","","","","","","","",""
"Avian Influenza A(H5N1) - United States of America","09 April 2024","https://www.who.int/emergencies/disease-outbreak-news/item/2024-DON512","2024","April","Avian Influenza A(H5N1)","United States of America","","","","","","","","","","","","",""
"Avian Influenza A(H5N1) - Viet Nam","02 April 2024","https://www.who.int/emergencies/disease-outbreak-news/item/2024-DON511","2024","April","Avian Influenza A(H5N1)","Viet Nam","","","","","","","","","","","","",""
"Yellow fever – African Region (AFRO)","20 March 2024","https://www.who.int/emergencies/disease-outbreak-news/item/2024-DON510","2024","March","Yellow fever","African Region (AFRO)","","","","","","","","","","","","",""
"Psittacosis – European region","05 March 2024","https://www.who.int/emergencies/disease-outbreak-news/item/2024-DON509","2024","March","Psittacosis","European region","","","","","","","","","","","","",""
"Nipah virus infection - Bangladesh","27 February 2024","https://www.who.int/emergencies/disease-outbreak-news/item/2024-DON508","2024","February","Nipah virus infection","Bangladesh","","","","","","","","","","","","",""
"Middle East Respiratory Syndrome Coronavirus  - Kingdom of Saudi Arabia","16 February 2024","https://www.who.int/emergencies/disease-outbreak-news/item/2024-DON506","2024","February","Middle East Respiratory Syndrome Coronavirus","Kingdom of Saudi Arabia","","","","","","","","","","","","",""
"Avian Influenza A(H10N5) and Influenza A(H3N2) coinfection - China","13 February 2024","https://www.who.int/emergencies/disease-outbreak-news/item/2024-DON504","2024","February","Avian Influenza A(H10N5) and Influenza A(H3N2) coinfection","China","","","","","","","","","","","","",""
"Influenza A(H1N1) variant virus - Spain","09 February 2024","https://www.who.int/emergencies/disease-outbreak-news/item/2024-DON503","2024","February","Influenza A(H1N1) variant virus","Spain","","","","","","","","","","","","",""
"Western Equine Encephalitis - Uruguay","08 February 2024","https://www.who.int/emergencies/disease-outbreak-news/item/2024-DON505","2024","February","Western Equine Encephalitis","Uruguay","","","","","","","","","","","","",""
"Avian Influenza A (H5N1) - Cambodia","08 February 2024","https://www.who.int/emergencies/disease-outbreak-news/item/2024-DON501","2024","February","Avian Influenza A (H5N1)","Cambodia","","","","","","","","","","","","",""
"Influenza A (H1N1) variant virus - Brazil","07 February 2024","https://www.who.int/emergencies/disease-outbreak-news/item/2024-DON502","2024","February","Influenza A (H1N1) variant virus","Brazil","","","","","","","","","","","","",""
"Circulating vaccine-derived poliovirus type 2 (cVDPV2) - Indonesia","11 January 2024","https://www.who.int/emergencies/disease-outbreak-news/item/2024-DON500","2024","January","Circulating vaccine","Indonesia","","","","","","","","","","","","",""
"Western equine encephalitis - Argentina","28 December 2023","https://www.who.int/emergencies/disease-outbreak-news/item/2023-DON499","2023","December","Western equine encephalitis","Argentina","","","","","","","","","","","","",""
"Dengue - Global situation","21 December 2023","https://www.who.int/emergencies/disease-outbreak-news/item/2023-DON498","2023","December","Dengue","Global situation","","","","","","","","","","","","",""
"Anthrax - Zambia","08 December 2023","https://www.who.int/emergencies/disease-outbreak-news/item/2023-DON497","2023","December","Anthrax","Zambia","","","","","","","","","","","","",""
"Influenza A(H1N2) variant virus infection - United Kingdom of Great Britain and Northern Ireland","01 December 2023","https://www.who.int/emergencies/disease-outbreak-news/item/2023-DON496","2023","December","Influenza A(H1N2) variant virus infection","United Kingdom of Great Britain and Northern Ireland","","","","","","","","","","","","",""
"Avian Influenza A (H5N1) - Cambodia","29 November 2023","https://www.who.int/emergencies/disease-outbreak-news/item/2023-DON495","2023","November","Avian Influenza A (H5N1)","Cambodia","","","","","","","","","","","","",""
"Upsurge of respiratory illnesses among children-Northern China","23 November 2023","https://www.who.int/emergencies/disease-outbreak-news/item/2023-DON494","2023","November","Upsurge of respiratory illnesses among children","Northern China","","","","","","","","","","","","",""
"Mpox (monkeypox) - Democratic Republic of the Congo","23 November 2023","https://www.who.int/emergencies/disease-outbreak-news/item/2023-DON493","2023","November","Mpox (monkeypox)","Democratic Republic of the Congo","","","","","","","","","","","","",""
"Diphtheria - Guinea","18 October 2023","https://www.who.int/emergencies/disease-outbreak-news/item/2023-DON492","2023","October","Diphtheria","Guinea","","","","","","","","","","","","",""
"Dengue - Chad","16 October 2023","https://www.who.int/emergencies/disease-outbreak-news/item/2023-DON491","2023","October","Dengue","Chad","","","","","","","","","","","","",""
"Nipah virus infection - India","03 October 2023","https://www.who.int/emergencies/disease-outbreak-news/item/2023-DON490","2023","October","Nipah virus infection","India","","","","","","","","","","","","",""
"Suspected triple outbreak of typhoid fever, shigellosis and cholera - Congo","21 September 2023","https://www.who.int/emergencies/disease-outbreak-news/item/2023-DON488","2023","September","Suspected triple outbreak of typhoid fever, shigellosis and cholera","Congo","","","","","","","","","","","","",""
"Botulism - France","20 September 2023","https://www.who.int/emergencies/disease-outbreak-news/item/2023-DON489","2023","September","Botulism","France","","","","","","","","","","","","",""
"Legionellosis - Poland","14 September 2023","https://www.who.int/emergencies/disease-outbreak-news/item/2023-DON487","2023","September","Legionellosis","Poland","","","","","","","","","","","","",""
"Diphtheria - Nigeria","13 September 2023","https://www.who.int/emergencies/disease-outbreak-news/item/2023-DON485","2023","September","Diphtheria","Nigeria","","","","","","","","","","","","",""
"Influenza A (H1N1) variant virus - the Netherlands","13 September 2023","https://www.who.int/emergencies/disease-outbreak-news/item/2023-DON486","2023","September","Influenza A (H1N1) variant virus","the Netherlands","","","","","","","","","","","","",""
"Middle East respiratory syndrome coronavirus - Saudi Arabia","29 August 2023","https://www.who.int/emergencies/disease-outbreak-news/item/2023-DON484","2023","August","Middle East respiratory syndrome coronavirus","Saudi Arabia","","","","","","","","","","","","",""
"Measles - Chile","23 August 2023","https://www.who.int/emergencies/disease-outbreak-news/item/2023-DON483","2023","August","Measles","Chile","","","","","","","","","","","","",""
"Influenza A (H1N2) variant virus-United States of America","11 August 2023","https://www.who.int/emergencies/disease-outbreak-news/item/2023-DON482","2023","August","Influenza A (H1N2) variant virus","United States of America","","","","","","","","","","","","",""
"Dengue - Bangladesh","11 August 2023","https://www.who.int/emergencies/disease-outbreak-news/item/2023-DON481","2023","August","Dengue","Bangladesh","","","","","","","","","","","","",""
"Circulating vaccine-derived poliovirus type 2 (cVDPV2) - Kenya","28 July 2023","https://www.who.int/emergencies/disease-outbreak-news/item/2023-DON479","2023","July","Circulating vaccine","Kenya","","","","","","","","","","","","",""
"Circulating vaccine-derived poliovirus type 2 (cVDPV2) - United Republic of Tanzania","28 July 2023","https://www.who.int/emergencies/disease-outbreak-news/item/2023-DON480","2023","July","Circulating vaccine","United Republic of Tanzania","","","","","","","","","","","","",""
"Guillain-Barré Syndrome - Peru","25 July 2023","https://www.who.int/emergencies/disease-outbreak-news/item/2023-DON477","2023","July","Guillain","Peru","","","","","","","","","","","","",""
"Middle East respiratory syndrome coronavirus –United Arab Emirates","24 July 2023","https://www.who.int/emergencies/disease-outbreak-news/item/2023-DON478","2023","July","Middle East respiratory syndrome coronavirus","United Arab Emirates","","","","","","","","","","","","",""
"Dengue – the Region of the Americas","19 July 2023","https://www.who.int/emergencies/disease-outbreak-news/item/2023-DON475","2023","July","Dengue","the Region of the Americas","","","","","","","","","","","","",""
"Influenza A(H5N1) in cats – Poland","16 July 2023","https://www.who.int/emergencies/disease-outbreak-news/item/2023-DON476","2023","July","Influenza A(H5N1) in cats","Poland","","","","","","","","","","","","",""
"Enterovirus-Echovirus 11 Infection - the European Region","07 July 2023","https://www.who.int/emergencies/disease-outbreak-news/item/2023-DON474","2023","July","Enterovirus","the European Region","","","","","","","","","","","","",""
"Influenza A H1N1 variant virus - Brazil","16 June 2023","https://www.who.int/emergencies/disease-outbreak-news/item/2023-DON473","2023","June","Influenza A H1N1 variant virus","Brazil","","","","","","","","","","","","",""
"Marburg virus disease - Equatorial Guinea","09 June 2023","https://www.who.int/emergencies/disease-outbreak-news/item/2023-DON472","2023","June","Marburg virus disease","Equatorial Guinea","","","","","","","","","","","","",""
"Marburg virus disease - United Republic of Tanzania","02 June 2023","https://www.who.int/emergencies/disease-outbreak-news/item/2023-DON471","2023","June","Marburg virus disease","United Republic of Tanzania","","","","","","","","","","","","",""
"Outbreak of suspected fungal meningitis associated with surgical procedures performed under spinal anaesthesia – the United States of America and Mexico","01 June 2023","https://www.who.int/emergencies/disease-outbreak-news/item/2023-DON470","2023","June","Outbreak of suspected fungal meningitis associated with surgical procedures performed under spinal anaesthesia","the United States of America and Mexico","","","","","","","","","","","","",""
"Enterovirus Infection - France","31 May 2023","https://www.who.int/emergencies/disease-outbreak-news/item/2023-DON469","2023","May","Enterovirus Infection","France","","","","","","","","","","","","",""
"Avian Influenza A H5N1 - United Kingdom of Great Britain and Northern Ireland","30 May 2023","https://www.who.int/emergencies/disease-outbreak-news/item/2023-DON468","2023","May","Avian Influenza A H5N1","United Kingdom of Great Britain and Northern Ireland","","","","","","","","","","","","",""
"Myocarditis - United Kingdom of Great Britain and Northern Ireland","17 May 2023","https://www.who.int/emergencies/disease-outbreak-news/item/2023-DON465","2023","May","Myocarditis","United Kingdom of Great Britain and Northern Ireland","","","","","","","","","","","","",""
"Marburg virus disease - Equatorial Guinea and the United Republic of Tanzania","08 May 2023","https://www.who.int/emergencies/disease-outbreak-news/item/2023-DON467","2023","May","Marburg virus disease","Equatorial Guinea and the United Republic of Tanzania","","","","","","","","","","","","",""
"Acute hepatitis E – South Sudan","05 May 2023","https://www.who.int/emergencies/disease-outbreak-news/item/2023-DON466","2023","May","Acute hepatitis E","South Sudan","","","","","","","","","","","","",""
"Measles - Ethiopia","04 May 2023","https://www.who.int/emergencies/disease-outbreak-news/item/2023-DON460","2023","May","Measles","Ethiopia","","","","","","","","","","","","",""
"Lassa fever - Nigeria","01 May 2023","https://www.who.int/emergencies/disease-outbreak-news/item/2023-DON463","2023","May","Lassa fever","Nigeria","","","","","","","","","","","","",""
"Measles - Indonesia","28 April 2023","https://www.who.int/emergencies/disease-outbreak-news/item/2023-DON462","2023","April","Measles","Indonesia","","","","","","","","","","","","",""
"Diphtheria - Nigeria","27 April 2023","https://www.who.int/emergencies/disease-outbreak-news/item/2023-DON452","2023","April","Diphtheria","Nigeria","","","","","","","","","","","","",""
"Meningitis - Nigeria","27 April 2023","https://www.who.int/emergencies/disease-outbreak-news/item/2023-DON454","2023","April","Meningitis","Nigeria","","","","","","","","","","","","",""
"Human Infection caused by Avian Influenza A (H5N1) - Chile","21 April 2023","https://www.who.int/emergencies/disease-outbreak-news/item/2023-DON461","2023","April","Human Infection caused by Avian Influenza A (H5N1)","Chile","","","","","","","","","","","","",""
"Circulating vaccine-derived poliovirus type 2 – Burundi","20 April 2023","https://www.who.int/emergencies/disease-outbreak-news/item/2023-DON457","2023","April","Circulating vaccine","derived poliovirus type 2 – Burundi","","","","","","","","","","","","",""
"Circulating vaccine-derived poliovirus type 2 - Indonesia","17 April 2023","https://www.who.int/emergencies/disease-outbreak-news/item/2023-DON458","2023","April","Circulating vaccine","Indonesia","","","","","","","","","","","","",""
"Marburg virus disease - Equatorial Guinea","15 April 2023","https://www.who.int/emergencies/disease-outbreak-news/item/2023-DON459","2023","April","Marburg virus disease","Equatorial Guinea","","","","","","","","","","","","",""
"Avian Influenza A(H3N8) - China","11 April 2023","https://www.who.int/emergencies/disease-outbreak-news/item/2023-DON456","2023","April","Avian Influenza A(H3N8)","China","","","","","","","","","","","","",""
"Pneumococcal meningitis - Togo","11 April 2023","https://www.who.int/emergencies/disease-outbreak-news/item/2023-DON455","2023","April","Pneumococcal meningitis","Togo","","","","","","","","","","","","",""
