"report_title","publication_date","report_url","year","month","disease","country","","","","","","","","","","","","",""
"Nipah virus infection - Bangladesh","17 February 2023","https://www.who.int/emergencies/disease-outbreak-news/item/2023-DON442","2023","February","Nipah virus infection","Bangladesh","","","","","","","","","","","","",""
"Cholera – Global situation","11 February 2023","https://www.who.int/emergencies/disease-outbreak-news/item/2023-DON437","2023","February","Cholera","Global situation","","","","","","","","","","","","",""
"Measles - South Sudan","10 February 2023","https://www.who.int/emergencies/disease-outbreak-news/item/2023-DON440","2023","February","Measles","South Sudan","","","","","","","","","","","","",""
"Cholera - Democratic Republic of the Congo","10 February 2023","https://www.who.int/emergencies/disease-outbreak-news/item/2023-DON441","2023","February","Cholera","Democratic Republic of the Congo","","","","","","","","","","","","",""
"Cholera - Malawi","09 February 2023","https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON435","2023","February","Cholera","Malawi","","","","","","","","","","","","",""
"Middle East respiratory syndrome coronavirus –Oman","08 February 2023","https://www.who.int/emergencies/disease-outbreak-news/item/2023-DON436","2023","February","Middle East respiratory syndrome coronavirus","Oman","","","","","","","","","","","","",""
"Meningitis - Niger","08 February 2023","https://www.who.int/emergencies/disease-outbreak-news/item/2023-DON439","2023","February","Meningitis","Niger","","","","","","","","","","","","",""
"Measles - Paraguay","02 February 2023","https://www.who.int/emergencies/disease-outbreak-news/item/2023-DON438","2023","February","Measles","Paraguay","","","","","","","","","","","","",""
"Human infection caused by avian influenza A(H5) - Ecuador","18 January 2023","https://www.who.int/emergencies/disease-outbreak-news/item/2023-DON434","2023","January","Human infection caused by avian influenza A(H5)","Ecuador","","","","","","","","","","","","",""
"Ebola disease caused by Sudan ebolavirus – Uganda","14 January 2023","https://www.who.int/emergencies/disease-outbreak-news/item/2023-DON433","2023","January","Ebola disease caused by Sudan ebolavirus","Uganda","","","","","","","","","","","","",""
"Circulating vaccine-derived poliovirus type 2 – Sudan","12 January 2023","https://www.who.int/emergencies/disease-outbreak-news/item/2023-DON362","2023","January","Circulating vaccine - derived poliovirus type 2","Sudan","","","","","","","","","","","","",""
"Yellow fever - African Region (AFRO)","03 January 2023","https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON431","2023","January","Yellow fever","African Region (AFRO)","","","","","","","","","","","","",""
"Circulating vaccine-derived poliovirus type 2-Indonesia","19 December 2022","https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON430","2022","December","Circulating vaccine","Indonesia","","","","","","","","","","","","",""
"Cholera – Global situation","16 December 2022","https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON426","2022","December","Cholera","Global situation","","","","","","","","","","","","",""
"Increased incidence of scarlet fever and invasive Group A Streptococcus infection - multi-country","15 December 2022","https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON429","2022","December","Increased incidence of scarlet fever and invasive Group A Streptococcus infection","country","","","","","","","","","","","","",""
"Cholera - Haiti","13 December 2022","https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON427","2022","December","Cholera","Haiti","","","","","","","","","","","","",""
"Ebola disease caused by Sudan ebolavirus – Uganda","08 December 2022","https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON428","2022","December","Ebola disease caused by Sudan ebolavirus","Uganda","","","","","","","","","","","","",""
"Dengue - Bangladesh","28 November 2022","https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON424","2022","November","Dengue","Bangladesh","","","","","","","","","","","","",""
"Ebola disease caused by Sudan ebolavirus – Uganda","24 November 2022","https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON425","2022","November","Ebola disease caused by Sudan ebolavirus","Uganda","","","","","","","","","","","","",""
"Middle East respiratory syndrome coronavirus – Saudi Arabia","16 November 2022","https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON422","2022","November","Middle East respiratory syndrome coronavirus","Saudi Arabia","","","","","","","","","","","","",""
"Ebola disease caused by Sudan ebolavirus – Uganda","10 November 2022","https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON423","2022","November","Ebola disease caused by Sudan ebolavirus","Uganda","","","","","","","","","","","","",""
"Cholera - Malawi","07 November 2022","https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON419","2022","November","Cholera","Malawi","","","","","","","","","","","","",""
"Avian Influenza A (H5N1) - Spain","03 November 2022","https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON420","2022","November","Avian Influenza A (H5N1)","Spain","","","","","","","","","","","","",""
"Ebola Disease caused by Sudan virus - Uganda","28 October 2022","https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON421","2022","October","Ebola Disease caused by Sudan virus","Uganda","","","","","","","","","","","","",""
"Rift Valley Fever - Mauritania","20 October 2022","https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON417","2022","October","Rift Valley Fever","Mauritania","","","","","","","","","","","","",""
"Cholera - Lebanon","19 October 2022","https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON416","2022","October","Cholera","Lebanon","","","","","","","","","","","","",""
"Malaria - Pakistan","17 October 2022","https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON413","2022","October","Malaria","Pakistan","","","","","","","","","","","","",""
"Dengue - Pakistan","13 October 2022","https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON414","2022","October","Dengue","Pakistan","","","","","","","","","","","","",""
"Cholera - Haiti","12 October 2022","https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON415","2022","October","Cholera","Haiti","","","","","","","","","","","","",""
"Dengue - Nepal","10 October 2022","https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON412","2022","October","Dengue","Nepal","","","","","","","","","","","","",""
"Ebola virus disease –Democratic Republic of the Congo","29 September 2022","https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON411","2022","September","Ebola virus disease","Democratic Republic of the Congo","","","","","","","","","","","","",""
"Marburg virus disease - Ghana","26 September 2022","https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON409","2022","September","Marburg virus disease","Ghana","","","","","","","","","","","","",""
"Ebola Disease caused by Sudan virus - Uganda","26 September 2022","https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON410","2022","September","Ebola Disease caused by Sudan virus","Uganda","","","","","","","","","","","","",""
"Detection of circulating vaccine derived polio virus 2 (cVDPV2) in environmental samples– the United Kingdom of Great Britain and Northern Ireland and the United States of America","14 September 2022","https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON408","2022","September","Detection of circulating vaccine derived polio virus 2 (cVDPV2) in environmental samples","the United Kingdom of Great Britain and Northern Ireland and the United States of America","","","","","","","","","","","","",""
"Circulating vaccine-derived poliovirus type 2 - Algeria","13 September 2022","https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON406","2022","September","Circulating vaccine","Algeria","","","","","","","","","","","","",""
"Legionellosis - Argentina","05 September 2022","https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON407","2022","September","Legionellosis","Argentina","","","","","","","","","","","","",""
"Yellow fever - African Region (AFRO)","02 September 2022","https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON405","2022","September","Yellow fever","African Region (AFRO)","","","","","","","","","","","","",""
"Ebola virus disease - Democratic Republic of the Congo","25 August 2022","https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON404","2022","August","Ebola virus disease","Democratic Republic of the Congo","","","","","","","","","","","","",""
"Leptospirosis - United Republic of Tanzania","12 August 2022","https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON403","2022","August","Leptospirosis","United Republic of Tanzania","","","","","","","","","","","","",""
"Dengue in Rohingya refugee/Forcibly Displaced Myanmar Nationals (FDMN) camps in Cox’s Bazar - Bangladesh","03 August 2022","https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON401","2022","August","Dengue in Rohingya refugee/Forcibly Displaced Myanmar Nationals (FDMN) camps in Cox’s Bazar","Bangladesh","","","","","","","","","","","","",""
"Marburg virus disease - Ghana","22 July 2022","https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON402","2022","July","Marburg virus disease","Ghana","","","","","","","","","","","","",""
"Cholera - Somalia","20 July 2022","https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON398_1","2022","July","Cholera","Somalia","","","","","","","","","","","","",""
"Severe acute hepatitis of unknown aetiology in children - Multi-country","12 July 2022","https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON400","2022","July","Severe acute hepatitis of unknown aetiology in children","country","","","","","","","","","","","","",""
"Ebola virus disease - Democratic Republic of the Congo","04 July 2022","https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON398","2022","July","Ebola virus disease","Democratic Republic of the Congo","","","","","","","","","","","","",""
"Multi-country monkeypox outbreak: situation update","27 June 2022","https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON396","2022","June","Multi- country monkeypox outbreak: situation update","Multi- country","","","","","","","","","","","","",""
"Severe acute hepatitis of unknown aetiology in children - Multi-country","24 June 2022","https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON394","2022","June","Severe acute hepatitis of unknown aetiology in children","country","","","","","","","","","","","","",""
"Wild poliovirus type 1 – Mozambique","23 June 2022","https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON395","2022","June","Wild poliovirus type 1","Mozambique","","","","","","","","","","","","",""
"Multi-country monkeypox outbreak: situation update","17 June 2022","https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON393","2022","June","Multi-country monkeypox outbreak: situation update","Multi-country","","","","","","","","","","","","",""
"Cholera - Pakistan","17 June 2022","https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON391","2022","June","Cholera","Pakistan","","","","","","","","","","","","",""
"Multi-country monkeypox outbreak: situation update","10 June 2022","https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON392","2022","June","Multi-country monkeypox outbreak: situation update","Multi-country","","","","","","","","","","","","",""
"Multi-country monkeypox outbreak: situation update","04 June 2022","https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON390","2022","June","Multi-country monkeypox outbreak: situation update","Multi-country","","","","","","","","","","","","",""
"Crimean-Congo hemorrhagic fever - Iraq","01 June 2022","https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON386","2022","June","Crimean","Iraq","","","","","","","","","","","","",""
"Multi-country monkeypox outbreak in non-endemic countries: Update","29 May 2022","https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON388","2022","May","Multi-endemic countries: Update","Multi-endemic countries","","","","","","","","","","","","",""
"Acute hepatitis of unknown aetiology in children - Multi-country","27 May 2022","https://www.who.int/emergencies/disease-outbreak-news/item/DON-389","2022","May","Acute hepatitis of unknown aetiology in children","country","","","","","","","","","","","","",""
"Dengue - Sao Tome and Principe","26 May 2022","https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON387","2022","May","Dengue","Sao Tome and Principe","","","","","","","","","","","","",""
"Multi-country monkeypox outbreak in non-endemic countries","21 May 2022","https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON385","2022","May","Multi-endemic countries","Multi-endemic countries","","","","","","","","","","","","",""
"Influenza A H1N1 - Germany","19 May 2022","https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON384","2022","May","Influenza A H1N1","Germany","","","","","","","","","","","","",""
"Monkeypox - United Kingdom of Great Britain and Northern Ireland","18 May 2022","https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON383","2022","May","Monkeypox","United Kingdom of Great Britain and Northern Ireland","","","","","","","","","","","","",""
"Middle East respiratory syndrome coronavirus - Oman","17 May 2022","https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON380","2022","May","Middle East respiratory syndrome coronavirus","Oman","","","","","","","","","","","","",""
"Monkeypox - United Kingdom of Great Britain and Northern Ireland","16 May 2022","https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON381","2022","May","Monkeypox","United Kingdom of Great Britain and Northern Ireland","","","","","","","","","","","","",""
"Cholera - Cameroon","16 May 2022","https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON374","2022","May","Cholera","Cameroon","","","","","","","","","","","","",""
"Lassa fever - Guinea","13 May 2022","https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON382","2022","May","Lassa fever","Guinea","","","","","","","","","","","","",""
"Middle East respiratory syndrome coronavirus – Qatar","12 May 2022","https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON370","2022","May","Middle East respiratory syndrome coronavirus","Qatar","","","","","","","","","","","","",""
"Avian Influenza A(H3N8) - China","09 May 2022","https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON378","2022","May","Avian Influenza A(H3N8)","China","","","","","","","","","","","","",""
"Avian Influenza A(H5N1) – United States of America","06 May 2022","https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON379","2022","May","Avian Influenza A(H5N1)","United States of America","","","","","","","","","","","","",""
"Japanese encephalitis - Australia","28 April 2022","https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON365","2022","April","Japanese encephalitis","Australia","","","","","","","","","","","","",""
"Ebola virus disease - Democratic Republic of the Congo","28 April 2022","https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON377","2022","April","Ebola virus disease","Democratic Republic of the Congo","","","","","","","","","","","","",""
"Measles - Somalia","27 April 2022","https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON371","2022","April","Measles","Somalia","","","","","","","","","","","","",""
"Multi-country outbreak of Salmonella Typhimurium linked to chocolate products – Europe and the United States of America","27 April 2022","https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON369","2022","April","Multi-country outbreak of Salmonella Typhimurium linked to chocolate products"," Europe and the United States of America","","","","","","","","","","","","",""
"Cholera - Malawi","27 April 2022","https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON372","2022","April","Cholera","Malawi","","","","","","","","","","","","",""
"Yellow Fever – Uganda","25 April 2022","https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON367","2022","April","Yellow Fever","Uganda","","","","","","","","","","","","",""
"Severe acute hepatitis of unknown origin in children - Multicountry","23 April 2022","https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON376","2022","April","Severe acute hepatitis of unknown origin in children","Multi-country","","","","","","","","","","","","",""
"Circulating vaccine-derived poliovirus type 3 – Israel","15 April 2022","https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON366","2022","April","Circulating vaccine - derived poliovirus type 3","Israel","","","","","","","","","","","","",""
"Acute hepatitis of unknown aetiology – the United Kingdom of Great Britain and Northern Ireland","15 April 2022","https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON368","2022","April","Acute hepatitis of unknown aetiology","the United Kingdom of Great Britain and Northern Ireland","","","","","","","","","","","","",""
"Middle East respiratory syndrome coronavirus – Saudi Arabia","07 April 2022","https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON363","2022","April","Middle East respiratory syndrome coronavirus","Saudi Arabia","","","","","","","","","","","","",""
"Yellow fever - Kenya","25 March 2022","https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON361","2022","March","Yellow fever","Kenya","","","","","","","","","","","","",""
"Extensively drug-resistant Shigella sonnei infections - Europe - European Region (EURO)","24 March 2022","https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON364","2022","March","Extensively drug","European Region (EURO)","","","","","","","","","","","","",""
"Lassa fever - Togo","24 March 2022","https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON362","2022","March","Lassa fever","Togo","","","","","","","","","","","","",""
"Wild poliovirus type 1 - Malawi","03 March 2022","https://www.who.int/emergencies/disease-outbreak-news/item/wild-poliovirus-type-1-(WPV1)-malawi","2022","March","Wild poliovirus type 1","Malawi","","","","","","","","","","","","",""
"Lassa Fever – United Kingdom of Great Britain and Northern Ireland","21 February 2022","https://www.who.int/emergencies/disease-outbreak-news/item/lassa-fever-united-kingdom-of-great-britain-and-northern-ireland","2022","February","Lassa Fever","United Kingdom of Great Britain and Northern Ireland","","","","","","","","","","","","",""
"Lassa Fever - Nigeria","14 February 2022","https://www.who.int/emergencies/disease-outbreak-news/item/lassa-fever---nigeria","2022","February","Lassa Fever","Nigeria","","","","","","","","","","","","",""
"Measles – Afghanistan","10 February 2022","https://www.who.int/emergencies/disease-outbreak-news/item/measles-afghanistan","2022","February","Measles","Afghanistan","","","","","","","","","","","","",""
"Dengue - Timor-Leste","04 February 2022","https://www.who.int/emergencies/disease-outbreak-news/item/dengue---timor-leste","2022","February","Dengue","Leste","","","","","","","","","","","","",""
"Cholera – Benin","25 January 2022","https://www.who.int/emergencies/disease-outbreak-news/item/cholera-benin","2022","January","Cholera","Benin","","","","","","","","","","","","",""
"Hepatitis E - Chad","17 January 2022","https://www.who.int/emergencies/disease-outbreak-news/item/2022-DON352","2022","January","Hepatitis E","Chad","","","","","","","","","","","","",""
"Influenza A(H5) - United Kingdom of Great Britain and Northern Ireland","14 January 2022","https://www.who.int/emergencies/disease-outbreak-news/item/influenza-a-(h5)---united-kingdom-of-great-britain-and-northern-ireland","2022","January","Influenza A(H5)","United Kingdom of Great Britain and Northern Ireland","","","","","","","","","","","","",""
"Yellow Fever - West and Central Africa","23 December 2021","https://www.who.int/emergencies/disease-outbreak-news/item/yellow-fever---west-and-central-africa","2021","December","Yellow Fever","West and Central Africa","","","","","","","","","","","","",""
"Hepatitis E virus – Republic of South Sudan","23 December 2021","https://www.who.int/emergencies/disease-outbreak-news/item/hepatitis-e-virus-republic-of-south-sudan","2021","December","Hepatitis E virus","Republic of South Sudan","","","","","","","","","","","","",""
"Ebola virus disease – Democratic Republic of the Congo","16 December 2021","https://www.who.int/emergencies/disease-outbreak-news/item/2021-DON351","2021","December","Ebola virus disease","Democratic Republic of the Congo","","","","","","","","","","","","",""
"Cholera – Cameroon","16 December 2021","https://www.who.int/emergencies/disease-outbreak-news/item/cholera-cameroon","2021","December","Cholera","Cameroon","","","","","","","","","","","","",""
"Dengue fever – Pakistan","14 December 2021","https://www.who.int/emergencies/disease-outbreak-news/item/dengue-fever-pakistan","2021","December","Dengue fever","Pakistan","","","","","","","","","","","","",""
"Middle East respiratory syndrome coronavirus – United Arab Emirates","13 December 2021","https://www.who.int/emergencies/disease-outbreak-news/item/middle-east-respiratory-syndrome-coronavirus-(mers-cov)-united-arab-emirates","2021","December","Middle East respiratory syndrome coronavirus","United Arab Emirates","","","","","","","","","","","","",""
"Circulating vaccine-derived poliovirus type 2 – Yemen","09 December 2021","https://www.who.int/emergencies/disease-outbreak-news/item/circulating-vaccine-derived-poliovirus-type-2-(cvdpv2)-yemen","2021","December","Circulating vaccine - derived poliovirus type 2"," Yemen","","","","","","","","","","","","",""
"Yellow fever - Ghana","01 December 2021","https://www.who.int/emergencies/disease-outbreak-news/item/yellow-fever---ghana","2021","December","Yellow fever","Ghana","","","","","","","","","","","","",""
"Monkeypox - United States of America","25 November 2021","https://www.who.int/emergencies/disease-outbreak-news/item/2021-DON344","2021","November","Monkeypox","United States of America","","","","","","","","","","","","",""
"Circulating vaccine-derived poliovirus type 2 – Ukraine","22 October 2021","https://www.who.int/emergencies/disease-outbreak-news/item/circulating-vaccine-derived-poliovirus-type-2-(cvdpv2)-ukraine","2021","October","Circulating vaccine - derived poliovirus type 2","Ukraine","","","","","","","","","","","","",""
"Zika virus disease – India","14 October 2021","https://www.who.int/emergencies/disease-outbreak-news/item/zika-virus-disease-india","2021","October","Zika virus disease","India","","","","","","","","","","","","",""
"Yellow Fever- Venezuela (Bolivarian Republic of)","13 October 2021","https://www.who.int/emergencies/disease-outbreak-news/item/yellow-fever---bolivarian-republic-of-venezuela","2021","October","Yellow Fever","Venezuela (Bolivarian Republic of)","","","","","","","","","","","","",""
"Ebola virus disease – Democratic Republic of the Congo","10 October 2021","https://www.who.int/emergencies/disease-outbreak-news/item/ebola-virus-disease-democratic-republic-of-the-congo_1","2021","October","Ebola virus disease","Democratic Republic of the Congo","","","","","","","","","","","","",""
"Yellow Fever – Nigeria","01 October 2021","https://www.who.int/emergencies/disease-outbreak-news/item/2021-DON336","2021","October","Yellow Fever","Nigeria","","","","","","","","","","","","",""
"Plague - Madagascar","01 October 2021","https://www.who.int/emergencies/disease-outbreak-news/item/plague---madagascar","2021","October","Plague","Madagascar","","","","","","","","","","","","",""
"Nipah virus infection - India","24 September 2021","https://www.who.int/emergencies/disease-outbreak-news/item/nipah-virus-disease---india","2021","September","Nipah virus infection","India","","","","","","","","","","","","",""
"Meningitis - Democratic Republic of the Congo","20 September 2021","https://www.who.int/emergencies/disease-outbreak-news/item/2021-DON334","2021","September","Meningitis","Democratic Republic of the Congo","","","","","","","","","","","","",""
"Marburg virus disease - Guinea","17 September 2021","https://www.who.int/emergencies/disease-outbreak-news/item/marburg-virus-disease---guinea","2021","September","Marburg virus disease","Guinea","","","","","","","","","","","","",""
"Middle East respiratory syndrome coronavirus – Saudi Arabia","17 August 2021","https://www.who.int/emergencies/disease-outbreak-news/item/2021-DON333","2021","August","Middle East respiratory syndrome coronavirus","Saudi Arabia","","","","","","","","","","","","",""
"Human infection with avian influenza A(H5N1) ｰ India","16 August 2021","https://www.who.int/emergencies/disease-outbreak-news/item/human-infection-with-avian-influenza-a(h5n1)-ｰ-india","2021","August","Human infection with avian influenza A(H5N1)","India","","","","","","","","","","","","",""
"Marburg virus disease - Guinea","09 August 2021","https://www.who.int/emergencies/disease-outbreak-news/item/2021-DON331","2021","August","Marburg virus disease","Guinea","","","","","","","","","","","","",""
"Monkeypox - United States of America","27 July 2021","https://www.who.int/emergencies/disease-outbreak-news/item/monkeypox---the-united-states-of-america","2021","July","Monkeypox","United States of America","","","","","","","","","","","","",""
"Monkeypox - United Kingdom of Great Britain and Northern Ireland","08 July 2021","https://www.who.int/emergencies/disease-outbreak-news/item/monkeypox---united-kingdom-of-great-britain-and-northern-ireland","2021","July","Monkeypox","United Kingdom of Great Britain and Northern Ireland","","","","","","","","","","","","",""
"Ebola virus disease - Guinea","19 June 2021","https://www.who.int/emergencies/disease-outbreak-news/item/2021-DON328","2021","June","Ebola virus disease","Guinea","","","","","","","","","","","","",""
"Monkeypox - United Kingdom of Great Britain and Northern Ireland","11 June 2021","https://www.who.int/emergencies/disease-outbreak-news/item/monkeypox---united-kingdom-of-great-britain-and-northern-ireland-ex-nigeria","2021","June","Monkeypox","United Kingdom of Great Britain and Northern Ireland","","","","","","","","","","","","",""
"Human infection with avian influenza A(H10N3) – China","10 June 2021","https://www.who.int/emergencies/disease-outbreak-news/item/human-infection-with-avian-influenza-a(h10n3)-china","2021","June","Human infection with avian influenza A(H10N3)","China","","","","","","","","","","","","",""
"Ebola virus disease - Democratic Republic of the Congo","04 May 2021","https://www.who.int/emergencies/disease-outbreak-news/item/2021-DON325","2021","May","Ebola virus disease","Democratic Republic of the Congo","","","","","","","","","","","","",""
"Middle East respiratory syndrome coronavirus - Saudi Arabia","14 April 2021","https://www.who.int/emergencies/disease-outbreak-news/item/2021-DON317","2021","April","Middle East respiratory syndrome coronavirus","Saudi Arabia","","","","","","","","","","","","",""
"Circulating vaccine-derived poliovirus type 2 – Global update","26 March 2021","https://www.who.int/emergencies/disease-outbreak-news/item/circulating-vaccine-derived-poliovirus-type-2-global-update","2021","March","Circulating vaccine - derived poliovirus type 2","Global update","","","","","","","","","","","","",""
"Middle East respiratory syndrome coronavirus – United Arab Emirates","17 March 2021","https://www.who.int/emergencies/disease-outbreak-news/item/2021-DON314","2021","March","Middle East respiratory syndrome coronavirus","United Arab Emirates","","","","","","","","","","","","",""
"Human infection with avian influenza A (H5N8) - Russian Federation","26 February 2021","https://www.who.int/emergencies/disease-outbreak-news/item/2021-DON313","2021","February","Human infection with avian influenza A (H5N8)","Russian Federation","","","","","","","","","","","","",""
"Ebola virus disease - Guinea","17 February 2021","https://www.who.int/emergencies/disease-outbreak-news/item/2021-DON312","2021","February","Ebola virus disease","Guinea","","","","","","","","","","","","",""
"Rift valley fever - Kenya","12 February 2021","https://www.who.int/emergencies/disease-outbreak-news/item/2021-DON311","2021","February","Rift valley fever","Kenya","","","","","","","","","","","","",""
"Ebola virus disease - Democratic Republic of the Congo","10 February 2021","https://www.who.int/emergencies/disease-outbreak-news/item/2021-DON310","2021","February","Ebola virus disease","Democratic Republic of the Congo","","","","","","","","","","","","",""
"Influenza A (H3N2) - United States of America","05 February 2021","https://www.who.int/emergencies/disease-outbreak-news/item/2021-DON309","2021","February","Influenza A (H3N2)","United States of America","","","","","","","","","","","","",""
"Middle East respiratory syndrome coronavirus – Saudi Arabia","01 February 2021","https://www.who.int/emergencies/disease-outbreak-news/item/2021-DON308","2021","February","Middle East respiratory syndrome coronavirus","Saudi Arabia","","","","","","","","","","","","",""
"Cholera - Togo","04 January 2021","https://www.who.int/emergencies/disease-outbreak-news/item/cholera-togo","2021","January","Cholera","Togo","","","","","","","","","","","","",""
"Influenza A(H1N2) - Brazil","04 January 2021","https://www.who.int/emergencies/disease-outbreak-news/item/2021-DON306","2021","January","Influenza A(H1N2)","Brazil","","","","","","","","","","","","",""
"COVID-19 - Global","31 December 2020","https://www.who.int/emergencies/disease-outbreak-news/item/2020-DON305","2020","December","COVID","Global","","","","","","","","","","","","",""
"Yellow Fever - Senegal","29 December 2020","https://www.who.int/emergencies/disease-outbreak-news/item/2020-DON303","2020","December","Yellow Fever","Senegal","","","","","","","","","","","","",""
"Yellow Fever - Guinea","23 December 2020","https://www.who.int/emergencies/disease-outbreak-news/item/2020-DON302","2020","December","Yellow Fever","Guinea","","","","","","","","","","","","",""
"COVID-19 - United Kingdom of Great Britain and Northern Ireland","21 December 2020","https://www.who.int/emergencies/disease-outbreak-news/item/2020-DON304","2020","December","COVID","United Kingdom of Great Britain and Northern Ireland","","","","","","","","","","","","",""
"COVID-19 - Denmark","03 December 2020","https://www.who.int/emergencies/disease-outbreak-news/item/2020-DON301","2020","December","COVID","Denmark","","","","","","","","","","","","",""
"Acute hepatitis E - Burkina Faso","27 November 2020","https://www.who.int/emergencies/disease-outbreak-news/item/2020-DON300","2020","November","Acute hepatitis E","Burkina Faso","","","","","","","","","","","","",""
"Yellow Fever - Nigeria","24 November 2020","https://www.who.int/emergencies/disease-outbreak-news/item/2020-DON299","2020","November","Yellow Fever","Nigeria","","","","","","","","","","","","",""
"Ebola virus disease - Democratic Republic of the Congo","18 November 2020","https://www.who.int/emergencies/disease-outbreak-news/item/ebola-virus-disease-democratic-republic-of-the-congo-draft","2020","November","Ebola virus disease","Democratic Republic of the Congo","","","","","","","","","","","","",""
"Avian Influenza A(H5N1) - Lao People’s Democratic Republic","17 November 2020","https://www.who.int/emergencies/disease-outbreak-news/item/avian-influenza-a(h5n1)--lao-people-s-democratic-republic","2020","November","Avian Influenza A(H5N1)","Lao People’s Democratic Republic","","","","","","","","","","","","",""
"Rift valley fever - Mauritania","13 November 2020","https://www.who.int/emergencies/disease-outbreak-news/item/rift-valley-fever-mauritania","2020","November","Rift valley fever","Mauritania","","","","","","","","","","","","",""
"COVID-19 - Denmark","06 November 2020","https://www.who.int/emergencies/disease-outbreak-news/item/2020-DON297","2020","November","COVID","Denmark","","","","","","","","","","","","",""
"Mayaro virus disease - French Guiana","24 October 2020","https://www.who.int/emergencies/disease-outbreak-news/item/mayaro-virus-disease---french-guiana-france","2020","October","Mayaro virus disease","French Guiana","","","","","","","","","","","","",""
"Oropouche virus disease - French Guiana","13 October 2020","https://www.who.int/emergencies/disease-outbreak-news/item/oropouche-virus-disease---french-guiana-france","2020","October","Oropouche virus disease","French Guiana","","","","","","","","","","","","",""
"Monkeypox - Democratic Republic of the Congo","01 October 2020","https://www.who.int/emergencies/disease-outbreak-news/item/monkeypox-democratic-republic-of-the-congo","2020","October","Monkeypox","Democratic Republic of the Congo","","","","","","","","","","","","",""
"Chikungunya – Chad","24 September 2020","https://www.who.int/emergencies/disease-outbreak-news/item/chikungunya-chad","2020","September","Chikungunya","Chad","","","","","","","","","","","","",""
